Year,Month,Region,Industry,Application,Bearing_Type,Sales_Channel,Buyer_Category,Buyer_Tier,Product_Class,Dealer_ID,Repeat_Order_Count,Order_Quantity,Price_Per_Unit,Revenue,Lead_Time,Inventory_Status,Warehouse,Competitor_Brand,Competitor_Price_Index,Failure_Risk_Score,Operating_Temperature_C,Contract_Length_Years,Machine_Age_Years
2022,2,North,Power,Rolling Mill,SRB,RFQ,PSU,Top 20% Buyer,Store Item,1415,4,294,9885818.65,2906430681.84,1 Week,Stock Available,Chennai,Timken,1.12,0.2,96.76,1,13
2025,2,North,Steel,Crusher,Others,RFQ,Small Dealer,Other Buyer,Store Item,1105,2,321,3744839.75,1202093560.61,1 Week,Stock Available,Mumbai,NRB,0.94,0.71,179.74,2,14
2024,12,East,Steel,Crusher,Ball Bearing,RFQ,Large Distributor,Other Buyer,Insurance Spare,1164,3,362,8003061.71,2897108339.05,4 Weeks,Stock Available,Kolkata,Chinese Imports,1.1,0.8,90.06,2,19
2023,6,East,Steel,Rolling Mill,SRB,Rate Contract,Small Dealer,Other Buyer,Store Item,1345,0,65,9530572.22,619487194.19,1 Week,Stock Available,Mumbai,Chinese Imports,0.72,0.85,78.84,2,19
2021,11,East,Steel,Crusher,Ball Bearing,Rate Contract,Large Distributor,Other Buyer,Stranger,1097,4,256,3399920.84,870379735.24,1 Week,Stock Available,Chennai,SKF,0.84,0.51,158.46,2,5
2021,12,West,Steel,Pump,TRB,Rate Contract,OEM,Other Buyer,Store Item,1485,1,252,1403143.76,353592226.49,16 Weeks,Stock Available,Delhi,Schaeffler,1.01,0.33,161.51,3,9
2020,12,West,Mining,Crusher,Ball Bearing,RFQ,Small Dealer,Top 20% Buyer,Store Item,1330,1,268,4012012.49,1075219347.02,4 Weeks,Stock Available,Kolkata,Timken,0.94,0.77,87.44,1,15
2025,12,East,Steel,Gearbox,SRB,RFQ,OEM,Other Buyer,Stranger,1369,3,58,714078.12,41416530.95,1 Week,Stock Available,Bangalore,Chinese Imports,0.85,0.32,81.81,2,12
2024,5,East,Steel,Gearbox,Ball Bearing,Rate Contract,Small Dealer,Other Buyer,Store Item,1441,4,185,1049834.85,194219448.03,1 Week,Stock Available,Delhi,Timken,0.8,0.15,130.62,1,4
2024,1,East,Cement,Pump,SRB,RFQ,PSU,Top 20% Buyer,Insurance Spare,1119,4,152,2348809.39,357019027.13,1 Week,Stock Available,Mumbai,Schaeffler,0.85,0.83,68.72,2,18
2020,7,West,Others,Rolling Mill,CRB,RFQ,Large Distributor,Other Buyer,Store Item,1298,1,50,2376129.22,118806461.17,1 Week,Stock Available,Kolkata,SKF,1.07,0.41,107.72,1,1
2025,3,North,Steel,Screen,CRB,Rate Contract,OEM,Other Buyer,Store Item,1142,2,122,3719303.86,453755070.42,1 Week,Stock Available,Bangalore,Chinese Imports,0.79,0.57,59.79,2,12
2025,1,North,Steel,Pump,SRB,RFQ,Small Dealer,Other Buyer,Store Item,1092,5,97,14061440.99,1363959775.61,4 Weeks,Stock Available,Kolkata,Timken,1.0,0.92,82.67,1,9
2021,7,West,Power,Crusher,SRB,RFQ,Small Dealer,Other Buyer,Stranger,1296,1,35,8637317.31,302306105.86,1 Week,Stock Available,Mumbai,Schaeffler,0.91,0.14,81.65,2,4
2021,11,East,Others,Pump,Ball Bearing,RFQ,OEM,Top 20% Buyer,Store Item,1446,5,217,6337600.8,1375259373.36,1 Week,Stock Available,Chennai,NRB,1.08,0.56,137.29,2,6
2021,9,North,Mining,Gearbox,TRB,RFQ,PSU,Other Buyer,Store Item,1479,2,158,8457012.48,1336207971.32,1 Week,Stock Available,Mumbai,SKF,0.8,0.56,79.52,1,2
2022,6,East,Cement,Pump,SRB,RFQ,OEM,Other Buyer,Insurance Spare,1257,3,282,85713.07,24171085.53,1 Week,Stock Available,Chennai,Timken,0.84,0.86,165.79,2,11
